IDStudent;IDClass;TextNumber;D3JOLF;D3JOLR;D3Restudy
32I3F;H3E;1;20;20;999
32I3F;H3E;2;40;20;999
32I3F;H3E;3;20;20;999
32I3F;H3E;4;40;20;999
32I3F;H3E;5;20;40;999
32I3F;H3E;6;20;20;999
3T1O;H3E;1;20;60;999
3T1O;H3E;2;60;40;999
3T1O;H3E;3;20;60;999
3T1O;H3E;4;40;60;999
3T1O;H3E;5;80;100;999
3T1O;H3E;6;80;80;999
5I6O;H3E;1;40;20;999
5I6O;H3E;2;20;60;999
5I6O;H3E;3;40;60;999
5I6O;H3E;4;40;40;999
5I6O;H3E;5;60;60;999
5I6O;H3E;6;60;80;999
8I6F;H3E;1;80;60;999
8I6F;H3E;2;80;40;999
8I6F;H3E;3;80;60;999
8I6F;H3E;4;20;40;999
8I6F;H3E;5;40;60;999
8I6F;H3E;6;80;80;999
9T6F;H3E;1;40;40;999
9T6F;H3E;2;40;40;999
9T6F;H3E;3;20;60;999
9T6F;H3E;4;60;40;999
9T6F;H3E;5;40;60;999
9T6F;H3E;6;40;60;999
10C3F;G3;1;80;80;0
10C3F;G3;2;60;80;0
10C3F;G3;3;60;80;0
10C3F;G3;4;60;80;0
10C3F;G3;5;60;80;0
10C3F;G3;6;60;80;0
11I5F;G3;1;60;80;1
11I5F;G3;2;60;60;0
11I5F;G3;3;60;80;0
11I5F;G3;4;80;100;0
11I5F;G3;5;60;80;0
11I5F;G3;6;60;60;0
12T5F;G3;1;80;80;0
12T5F;G3;2;60;60;1
12T5F;G3;3;80;80;0
12T5F;G3;4;40;40;1
12T5F;G3;5;60;60;1
12T5F;G3;6;60;80;0
13C6F;G3;1;60;60;1
13C6F;G3;2;60;80;0
13C6F;G3;3;80;80;0
13C6F;G3;4;80;80;0
13C6F;G3;5;60;80;0
13C6F;G3;6;60;80;0
14I4F;G3;1;60;80;0
14I4F;G3;2;40;40;0
14I4F;G3;3;40;60;0
14I4F;G3;4;60;40;0
14I4F;G3;5;80;80;1
14I4F;G3;6;60;80;0
15T2F;G3;1;60;60;1
15T2F;G3;2;80;80;0
15T2F;G3;3;80;80;0
15T2F;G3;4;100;80;0
15T2F;G3;5;60;60;0
15T2F;G3;6;80;80;0
18T4F;G3;1;60;60;1
18T4F;G3;2;80;80;0
18T4F;G3;3;60;40;0
18T4F;G3;4;80;80;0
18T4F;G3;5;60;80;0
18T4F;G3;6;40;80;0
1C2O;G3;1;60;80;0
1C2O;G3;2;80;80;0
1C2O;G3;3;60;80;0
1C2O;G3;4;40;60;0
1C2O;G3;5;40;60;0
1C2O;G3;6;80;80;0
20I6F;G3;1;80;80;0
20I6F;G3;2;80;80;0
20I6F;G3;3;60;80;0
20I6F;G3;4;60;60;1
20I6F;G3;5;60;60;1
20I6F;G3;6;99;99;0
22C5F;G3;1;80;80;1
22C5F;G3;2;80;100;0
22C5F;G3;3;60;80;0
22C5F;G3;4;100;100;0
22C5F;G3;5;80;80;0
22C5F;G3;6;80;80;0
25C6F;G3;1;60;80;0
25C6F;G3;2;80;100;0
25C6F;G3;3;80;80;0
25C6F;G3;4;80;100;0
25C6F;G3;5;80;100;0
25C6F;G3;6;80;80;0
26I3F;G3;1;60;40;1
26I3F;G3;2;40;40;1
26I3F;G3;3;60;80;0
26I3F;G3;4;60;60;0
26I3F;G3;5;40;60;1
26I3F;G3;6;40;40;1
27T2F;G3;1;80;80;0
27T2F;G3;2;80;80;0
27T2F;G3;3;100;100;0
27T2F;G3;4;100;100;0
27T2F;G3;5;80;80;0
27T2F;G3;6;80;80;0
5I3O;G3;1;80;60;0
5I3O;G3;2;80;60;0
5I3O;G3;3;80;80;0
5I3O;G3;4;80;80;0
5I3O;G3;5;60;80;0
5I3O;G3;6;60;80;0
6T6O;G3;1;60;80;0
6T6O;G3;2;60;60;0
6T6O;G3;3;60;60;0
6T6O;G3;4;60;80;0
6T6O;G3;5;60;80;0
6T6O;G3;6;60;60;0
7C4F;G3;1;60;80;1
7C4F;G3;2;80;80;0
7C4F;G3;3;80;80;0
7C4F;G3;4;80;100;0
7C4F;G3;5;80;80;0
7C4F;G3;6;80;80;0
8I3F;G3;1;80;80;0
8I3F;G3;2;60;80;1
8I3F;G3;3;60;80;1
8I3F;G3;4;80;60;1
8I3F;G3;5;80;80;0
8I3F;G3;6;80;80;0
9T1F;G3;1;40;40;1
9T1F;G3;2;60;60;0
9T1F;G3;3;40;60;1
9T1F;G3;4;40;60;0
9T1F;G3;5;60;60;0
9T1F;G3;6;20;40;1
10C5F;H3;1;20;60;0
10C5F;H3;2;20;40;1
10C5F;H3;3;20;40;0
10C5F;H3;4;20;40;0
10C5F;H3;5;40;40;0
10C5F;H3;6;40;60;0
11I4F;H3;1;20;60;0
11I4F;H3;2;20;60;0
11I4F;H3;3;20;80;0
11I4F;H3;4;40;60;0
11I4F;H3;5;40;40;0
11I4F;H3;6;20;40;1
12T2F;H3;1;20;40;0
12T2F;H3;2;0;20;1
12T2F;H3;3;20;40;0
12T2F;H3;4;20;20;0
12T2F;H3;5;20;20;0
12T2F;H3;6;0;20;0
13C5F;H3;1;20;40;0
13C5F;H3;2;20;40;1
13C5F;H3;3;20;40;0
13C5F;H3;4;20;40;0
13C5F;H3;5;40;40;0
13C5F;H3;6;20;40;0
16C3F;H3;1;20;60;0
16C3F;H3;2;20;20;1
16C3F;H3;3;20;40;0
16C3F;H3;4;20;20;0
16C3F;H3;5;20;20;0
16C3F;H3;6;20;40;0
17I6F;H3;1;20;60;0
17I6F;H3;2;20;40;1
17I6F;H3;3;20;60;0
17I6F;H3;4;20;60;0
17I6F;H3;5;20;40;0
17I6F;H3;6;20;60;0
18T2F;H3;1;40;60;0
18T2F;H3;2;20;40;0
18T2F;H3;3;20;40;1
18T2F;H3;4;40;60;0
18T2F;H3;5;40;60;0
18T2F;H3;6;40;60;0
19C6F;H3;1;20;40;0
19C6F;H3;2;20;40;0
19C6F;H3;3;20;20;1
19C6F;H3;4;20;40;0
19C6F;H3;5;40;40;0
19C6F;H3;6;20;40;0
20I3F;H3;1;20;40;0
20I3F;H3;2;20;20;0
20I3F;H3;3;20;40;0
20I3F;H3;4;20;20;0
20I3F;H3;5;20;20;1
20I3F;H3;6;20;40;0
21T6F;H3;1;20;40;0
21T6F;H3;2;20;20;1
21T6F;H3;3;20;20;0
21T6F;H3;4;40;60;0
21T6F;H3;5;40;40;0
21T6F;H3;6;40;60;0
22C4F;H3;1;40;40;0
22C4F;H3;2;20;20;0
22C4F;H3;3;20;40;0
22C4F;H3;4;20;20;1
22C4F;H3;5;0;40;0
22C4F;H3;6;20;40;0
23I2F;H3;1;40;40;0
23I2F;H3;2;20;40;0
23I2F;H3;3;40;40;0
23I2F;H3;4;20;40;0
23I2F;H3;5;20;20;1
23I2F;H3;6;20;40;0
24T1F;H3;1;20;40;0
24T1F;H3;2;20;40;0
24T1F;H3;3;20;40;0
24T1F;H3;4;20;40;0
24T1F;H3;5;20;40;0
24T1F;H3;6;0;20;1
3T4O;H3;1;20;60;0
3T4O;H3;2;20;20;0
3T4O;H3;3;20;20;1
3T4O;H3;4;20;40;0
3T4O;H3;5;20;40;0
3T4O;H3;6;20;40;0
5I1O;H3;1;20;60;0
5I1O;H3;2;20;40;1
5I1O;H3;3;20;40;0
5I1O;H3;4;20;40;0
5I1O;H3;5;40;60;0
5I1O;H3;6;20;80;0
7C1O;H3;1;20;20;0
7C1O;H3;2;20;20;1
7C1O;H3;3;20;20;0
7C1O;H3;4;20;20;0
7C1O;H3;5;20;20;0
7C1O;H3;6;20;20;0
8I5F;H3;1;40;80;0
8I5F;H3;2;20;60;0
8I5F;H3;3;40;60;0
8I5F;H3;4;20;40;0
8I5F;H3;5;40;40;1
8I5F;H3;6;40;80;0
9T2F;H3;1;20;60;0
9T2F;H3;2;20;20;1
9T2F;H3;3;20;40;0
9T2F;H3;4;20;60;0
9T2F;H3;5;20;40;0
9T2F;H3;6;20;20;0
10C2F;3Ab;1;60;80;0
10C2F;3Ab;2;60;80;0
10C2F;3Ab;3;40;60;0
10C2F;3Ab;4;40;60;1
10C2F;3Ab;5;60;80;0
10C2F;3Ab;6;60;80;0
11C2F;3Ab;1;60;80;0
11C2F;3Ab;2;40;60;1
11C2F;3Ab;3;40;60;0
11C2F;3Ab;4;20;40;1
11C2F;3Ab;5;60;80;0
11C2F;3Ab;6;60;80;0
12T1F;3Ab;1;40;60;1
12T1F;3Ab;2;40;60;1
12T1F;3Ab;3;60;80;0
12T1F;3Ab;4;40;20;1
12T1F;3Ab;5;40;60;1
12T1F;3Ab;6;20;40;1
14I5F;3Ab;1;80;100;0
14I5F;3Ab;2;80;60;0
14I5F;3Ab;3;60;80;0
14I5F;3Ab;4;60;80;0
14I5F;3Ab;5;60;40;0
14I5F;3Ab;6;40;60;1
16C1F;3Ab;1;40;60;0
16C1F;3Ab;2;20;40;1
16C1F;3Ab;3;40;40;0
16C1F;3Ab;4;20;20;1
16C1F;3Ab;5;20;40;1
16C1F;3Ab;6;60;40;0
17I3F;3Ab;1;40;20;1
17I3F;3Ab;2;60;40;0
17I3F;3Ab;3;80;80;0
17I3F;3Ab;4;40;80;1
17I3F;3Ab;5;40;80;1
17I3F;3Ab;6;60;60;0
18T4F;3Ab;1;80;80;0
18T4F;3Ab;2;60;60;1
18T4F;3Ab;3;60;80;0
18T4F;3Ab;4;80;100;0
18T4F;3Ab;5;80;80;0
18T4F;3Ab;6;60;80;0
19I5F;3Ab;1;80;80;0
19I5F;3Ab;2;40;20;1
19I5F;3Ab;3;80;60;1
19I5F;3Ab;4;60;60;0
19I5F;3Ab;5;60;60;1
19I5F;3Ab;6;60;80;0
1C3O;3Ab;1;60;80;0
1C3O;3Ab;2;80;80;0
1C3O;3Ab;3;80;80;1
1C3O;3Ab;4;40;80;1
1C3O;3Ab;5;60;80;0
1C3O;3Ab;6;80;100;0
20I5F;3Ab;1;40;60;1
20I5F;3Ab;2;40;40;1
20I5F;3Ab;3;60;60;0
20I5F;3Ab;4;40;60;1
20I5F;3Ab;5;40;40;1
20I5F;3Ab;6;40;40;1
21C6F;3Ab;1;60;60;0
21C6F;3Ab;2;40;20;1
21C6F;3Ab;3;40;40;1
21C6F;3Ab;4;20;40;1
21C6F;3Ab;5;60;60;0
21C6F;3Ab;6;80;80;0
22T3F;3Ab;1;80;60;0
22T3F;3Ab;2;40;20;1
22T3F;3Ab;3;40;60;0
22T3F;3Ab;4;60;40;0
22T3F;3Ab;5;40;40;1
22T3F;3Ab;6;40;40;1
29I1F;3Ab;1;60;40;1
29I1F;3Ab;2;40;20;1
29I1F;3Ab;3;60;60;0
29I1F;3Ab;4;60;40;0
29I1F;3Ab;5;60;40;1
29I1F;3Ab;6;60;60;0
3T2O;3Ab;1;60;80;1
3T2O;3Ab;2;20;40;1
3T2O;3Ab;3;40;60;0
3T2O;3Ab;4;40;80;0
3T2O;3Ab;5;60;80;0
3T2O;3Ab;6;60;40;0
4C3F;3Ab;1;60;80;0
4C3F;3Ab;2;40;60;1
4C3F;3Ab;3;40;60;0
4C3F;3Ab;4;40;60;1
4C3F;3Ab;5;40;60;1
4C3F;3Ab;6;60;80;0
6T4F;3Ab;1;60;80;0
6T4F;3Ab;2;40;40;1
6T4F;3Ab;3;60;40;0
6T4F;3Ab;4;60;60;1
6T4F;3Ab;5;60;40;1
6T4F;3Ab;6;80;100;0
8I2O;3Ab;1;40;60;0
8I2O;3Ab;2;60;20;1
8I2O;3Ab;3;60;80;0
8I2O;3Ab;4;40;60;1
8I2O;3Ab;5;20;40;1
8I2O;3Ab;6;60;80;1
9T4F;3Ab;1;60;100;0
9T4F;3Ab;2;80;80;0
9T4F;3Ab;3;60;40;1
9T4F;3Ab;4;60;60;0
9T4F;3Ab;5;40;40;1
9T4F;3Ab;6;40;20;1
10C5F;V3D;1;40;40;0
10C5F;V3D;2;40;60;0
10C5F;V3D;3;20;40;1
10C5F;V3D;4;40;60;0
10C5F;V3D;5;40;60;0
10C5F;V3D;6;20;40;0
11I6F;V3D;1;80;80;0
11I6F;V3D;2;60;80;0
11I6F;V3D;3;40;60;0
11I6F;V3D;4;20;40;0
11I6F;V3D;5;20;40;1
11I6F;V3D;6;60;80;0
12T1F;V3D;1;80;80;0
12T1F;V3D;2;40;60;0
12T1F;V3D;3;40;60;1
12T1F;V3D;4;60;80;0
12T1F;V3D;5;40;60;0
12T1F;V3D;6;60;60;0
15T6F;V3D;1;60;60;0
15T6F;V3D;2;60;60;0
15T6F;V3D;3;40;80;0
15T6F;V3D;4;40;60;1
15T6F;V3D;5;80;80;0
15T6F;V3D;6;60;80;0
16C2F;V3D;1;40;60;0
16C2F;V3D;2;60;40;0
16C2F;V3D;3;40;60;0
16C2F;V3D;4;60;60;0
16C2F;V3D;5;40;60;0
16C2F;V3D;6;60;60;1
17I6F;V3D;1;60;60;0
17I6F;V3D;2;40;40;1
17I6F;V3D;3;40;60;0
17I6F;V3D;4;60;80;0
17I6F;V3D;5;60;60;0
17I6F;V3D;6;40;60;0
19C5F;V3D;1;20;40;1
19C5F;V3D;2;40;40;0
19C5F;V3D;3;20;40;1
19C5F;V3D;4;40;60;0
19C5F;V3D;5;40;60;0
19C5F;V3D;6;20;40;0
1C3O;V3D;1;40;60;0
1C3O;V3D;2;20;60;1
1C3O;V3D;3;60;80;0
1C3O;V3D;4;40;60;0
1C3O;V3D;5;20;40;1
1C3O;V3D;6;60;80;0
20I2F;V3D;1;60;60;0
20I2F;V3D;2;60;80;0
20I2F;V3D;3;40;80;0
20I2F;V3D;4;60;80;0
20I2F;V3D;5;40;40;1
20I2F;V3D;6;40;60;0
21T4F;V3D;1;40;60;1
21T4F;V3D;2;60;60;0
21T4F;V3D;3;40;80;0
21T4F;V3D;4;60;80;0
21T4F;V3D;5;60;60;0
21T4F;V3D;6;60;80;0
22C1F;V3D;1;60;80;0
22C1F;V3D;2;40;40;1
22C1F;V3D;3;20;60;0
22C1F;V3D;4;40;60;0
22C1F;V3D;5;40;60;0
22C1F;V3D;6;40;60;0
24T1F;V3D;1;40;60;1
24T1F;V3D;2;60;80;0
24T1F;V3D;3;60;60;0
24T1F;V3D;4;40;60;0
24T1F;V3D;5;40;60;1
24T1F;V3D;6;40;60;0
25C6F;V3D;1;80;80;0
25C6F;V3D;2;60;80;1
25C6F;V3D;3;60;80;0
25C6F;V3D;4;80;80;0
25C6F;V3D;5;60;80;0
