IDStudent;IDClass;TextNumber;D3JOLF;D3JOLR;D3Restudy
11I6F;3A1;1;60;60;0
11I6F;3A1;2;0;0;0
11I6F;3A1;3;20;40;0
11I6F;3A1;4;20;20;1
11I6F;3A1;5;40;40;0
11I6F;3A1;6;20;20;0
12T5F;3A1;1;80;80;0
12T5F;3A1;2;60;80;0
12T5F;3A1;3;60;60;0
12T5F;3A1;4;80;100;0
12T5F;3A1;5;100;100;0
12T5F;3A1;6;80;80;0
13C1F;3A1;1;80;80;0
13C1F;3A1;2;100;100;0
13C1F;3A1;3;80;100;0
13C1F;3A1;4;100;100;0
13C1F;3A1;5;100;100;0
13C1F;3A1;6;80;80;0
14I3F;3A1;1;100;100;0
14I3F;3A1;2;80;100;0
14I3F;3A1;3;80;100;0
14I3F;3A1;4;60;60;1
14I3F;3A1;5;60;80;0
14I3F;3A1;6;80;100;0
18T1O;3A1;1;40;40;0
18T1O;3A1;2;40;60;0
18T1O;3A1;3;60;80;0
18T1O;3A1;4;40;40;0
18T1O;3A1;5;40;60;0
18T1O;3A1;6;20;20;1
19C4F;3A1;1;80;100;0
19C4F;3A1;2;80;100;0
19C4F;3A1;3;80;80;0
19C4F;3A1;4;100;100;0
19C4F;3A1;5;80;80;0
19C4F;3A1;6;100;100;0
1C2F;3A1;1;60;80;0
1C2F;3A1;2;80;80;0
1C2F;3A1;3;60;80;0
1C2F;3A1;4;60;80;0
1C2F;3A1;5;60;60;1
1C2F;3A1;6;80;80;0
20I4O;3A1;1;80;100;1
20I4O;3A1;2;80;100;0
20I4O;3A1;3;80;100;0
20I4O;3A1;4;80;80;0
20I4O;3A1;5;100;100;0
20I4O;3A1;6;100;100;0
21T6F;3A1;1;100;100;0
21T6F;3A1;2;100;100;0
21T6F;3A1;3;80;80;1
21T6F;3A1;4;80;100;0
21T6F;3A1;5;80;100;0
21T6F;3A1;6;80;100;0
26I5F;3A1;1;60;60;1
26I5F;3A1;2;80;100;0
26I5F;3A1;3;80;80;0
26I5F;3A1;4;80;80;0
26I5F;3A1;5;80;80;0
26I5F;3A1;6;80;80;0
2I6F;3A1;1;60;80;0
2I6F;3A1;2;80;60;0
2I6F;3A1;3;0;0;1
2I6F;3A1;4;60;60;0
2I6F;3A1;5;60;60;0
2I6F;3A1;6;60;60;0
3T4F;3A1;1;80;80;0
3T4F;3A1;2;60;80;0
3T4F;3A1;3;40;60;0
3T4F;3A1;4;100;100;0
3T4F;3A1;5;80;100;0
3T4F;3A1;6;40;60;1
4C1F;3A1;1;60;60;0
4C1F;3A1;2;80;80;0
4C1F;3A1;3;60;40;1
4C1F;3A1;4;60;60;0
4C1F;3A1;5;60;60;0
4C1F;3A1;6;60;60;0
6T3F;3A1;1;20;20;0
6T3F;3A1;2;40;80;1
6T3F;3A1;3;80;80;0
6T3F;3A1;4;100;100;0
6T3F;3A1;5;80;100;0
6T3F;3A1;6;60;80;0
7C2O;3A1;1;80;80;1
7C2O;3A1;2;80;100;0
7C2O;3A1;3;60;80;0
7C2O;3A1;4;100;100;0
7C2O;3A1;5;80;100;0
7C2O;3A1;6;80;100;0
8I5F;3A1;1;80;100;0
8I5F;3A1;2;60;60;0
8I5F;3A1;3;20;40;0
8I5F;3A1;4;60;80;0
8I5F;3A1;5;60;60;0
8I5F;3A1;6;60;60;0
9T1F;3A1;1;80;80;0
9T1F;3A1;2;80;100;0
9T1F;3A1;3;80;100;0
9T1F;3A1;4;80;80;1
9T1F;3A1;5;80;80;0
9T1F;3A1;6;80;80;0
10C4F;3A3;1;100;80;0
10C4F;3A3;2;80;80;0
10C4F;3A3;3;100;80;0
10C4F;3A3;4;100;80;0
10C4F;3A3;5;80;80;1
10C4F;3A3;6;100;80;0
11T5F;3A3;1;80;60;0
11T5F;3A3;2;100;80;0
11T5F;3A3;3;80;80;0
11T5F;3A3;4;100;80;0
11T5F;3A3;5;60;60;1
11T5F;3A3;6;80;60;0
12T6F;3A3;1;60;60;0
12T6F;3A3;2;60;40;1
12T6F;3A3;3;80;80;0
12T6F;3A3;4;80;80;0
12T6F;3A3;5;80;60;0
12T6F;3A3;6;80;60;0
13C1F;3A3;1;100;80;0
13C1F;3A3;2;80;80;0
13C1F;3A3;3;80;80;0
13C1F;3A3;4;80;80;0
13C1F;3A3;5;80;60;1
13C1F;3A3;6;100;80;0
14T2F;3A3;1;80;60;0
14T2F;3A3;2;40;40;1
14T2F;3A3;3;60;80;0
14T2F;3A3;4;60;60;0
14T2F;3A3;5;80;60;0
14T2F;3A3;6;80;60;0
15I3F;3A3;1;100;80;0
15I3F;3A3;2;80;100;0
15I3F;3A3;3;100;80;0
15I3F;3A3;4;100;80;0
15I3F;3A3;5;40;40;1
15I3F;3A3;6;80;80;0
17C5F;3A3;1;60;60;0
17C5F;3A3;2;80;40;0
17C5F;3A3;3;60;60;0
17C5F;3A3;4;60;20;1
17C5F;3A3;5;40;40;0
17C5F;3A3;6;80;60;0
19I1F;3A3;1;40;20;0
19I1F;3A3;2;60;60;0
19I1F;3A3;3;20;20;1
19I1F;3A3;4;60;20;0
19I1F;3A3;5;40;20;0
19I1F;3A3;6;60;20;0
1T1O;3A3;1;60;60;0
1T1O;3A3;2;60;40;0
1T1O;3A3;3;60;60;0
1T1O;3A3;4;60;80;0
1T1O;3A3;5;60;60;0
1T1O;3A3;6;60;80;0
2C2O;3A3;1;80;40;0
2C2O;3A3;2;80;60;0
2C2O;3A3;3;60;20;1
2C2O;3A3;4;60;40;0
2C2O;3A3;5;60;20;0
2C2O;3A3;6;60;20;0
3I2O;3A3;1;100;100;0
3I2O;3A3;2;80;80;1
3I2O;3A3;3;80;100;0
3I2O;3A3;4;80;100;0
3I2O;3A3;5;80;80;0
3I2O;3A3;6;80;80;0
4T4F;3A3;1;80;80;0
4T4F;3A3;2;40;40;0
4T4F;3A3;3;80;60;0
4T4F;3A3;4;80;60;0
4T4F;3A3;5;40;40;1
4T4F;3A3;6;60;80;0
5I5F;3A3;1;80;80;0
5I5F;3A3;2;60;80;0
5I5F;3A3;3;80;100;0
5I5F;3A3;4;80;100;0
5I5F;3A3;5;80;100;0
5I5F;3A3;6;60;80;1
6C6F;3A3;1;60;60;0
6C6F;3A3;2;60;60;0
6C6F;3A3;3;80;80;0
6C6F;3A3;4;40;60;1
6C6F;3A3;5;80;60;0
6C6F;3A3;6;80;80;0
7T1F;3A3;1;60;80;0
7T1F;3A3;2;60;60;0
7T1F;3A3;3;60;80;0
7T1F;3A3;4;80;80;0
7T1F;3A3;5;40;60;0
7T1F;3A3;6;40;20;1
8C2F;3A3;1;80;60;0
8C2F;3A3;2;80;60;0
8C2F;3A3;3;80;80;0
8C2F;3A3;4;60;60;0
8C2F;3A3;5;60;60;1
8C2F;3A3;6;80;60;0
9I3F;3A3;1;80;80;0
9I3F;3A3;2;60;40;1
9I3F;3A3;3;80;60;0
9I3F;3A3;4;80;80;0
9I3F;3A3;5;60;40;0
9I3F;3A3;6;80;80;0
10I4F;3G2;1;60;80;0
10I4F;3G2;2;40;40;1
10I4F;3G2;3;60;40;1
10I4F;3G2;4;60;60;0
10I4F;3G2;5;60;80;0
10I4F;3G2;6;60;60;1
11I1F;3G2;1;60;80;0
11I1F;3G2;2;80;80;0
11I1F;3G2;3;60;60;0
11I1F;3G2;4;80;80;0
11I1F;3G2;5;60;60;0
11I1F;3G2;6;60;80;0
13T6F;3G2;1;80;80;0
13T6F;3G2;2;40;40;1
13T6F;3G2;3;40;20;1
13T6F;3G2;4;60;60;0
13T6F;3G2;5;60;60;0
13T6F;3G2;6;40;60;1
14I4F;3G2;1;60;20;1
14I4F;3G2;2;60;20;1
14I4F;3G2;3;60;40;1
14I4F;3G2;4;60;40;1
14I4F;3G2;5;60;60;0
14I4F;3G2;6;60;60;0
15T6F;3G2;1;80;80;0
15T6F;3G2;2;60;60;1
15T6F;3G2;3;80;80;0
15T6F;3G2;4;80;80;0
15T6F;3G2;5;80;60;0
15T6F;3G2;6;80;80;0
16I1F;3G2;1;80;100;0
16I1F;3G2;2;80;100;0
16I1F;3G2;3;60;80;0
16I1F;3G2;4;80;80;0
16I1F;3G2;5;80;80;0
16I1F;3G2;6;80;100;0
17T5F;3G2;1;80;80;0
17T5F;3G2;2;80;80;0
17T5F;3G2;3;60;60;1
17T5F;3G2;4;80;80;0
17T5F;3G2;5;80;80;0
17T5F;3G2;6;80;80;0
18C2F;3G2;1;80;40;1
18C2F;3G2;2;80;40;1
18C2F;3G2;3;80;40;1
18C2F;3G2;4;80;40;1
18C2F;3G2;5;60;40;1
18C2F;3G2;6;80;40;1
1C4F;3G2;1;60;40;1
1C4F;3G2;2;80;40;0
1C4F;3G2;3;60;40;1
1C4F;3G2;4;80;40;0
1C4F;3G2;5;80;40;1
1C4F;3G2;6;80;40;0
20T6F;3G2;1;80;100;0
20T6F;3G2;2;80;100;0
20T6F;3G2;3;80;100;0
20T6F;3G2;4;80;100;0
20T6F;3G2;5;80;100;0
20T6F;3G2;6;80;100;0
22T2F;3G2;1;60;40;1
22T2F;3G2;2;80;40;0
22T2F;3G2;3;80;40;1
22T2F;3G2;4;60;40;0
22T2F;3G2;5;60;40;1
22T2F;3G2;6;60;40;1
23C1F;3G2;1;60;20;0
23C1F;3G2;2;60;20;0
23C1F;3G2;3;60;20;0
23C1F;3G2;4;60;20;0
23C1F;3G2;5;60;20;0
23C1F;3G2;6;60;20;0
27I6F;3G2;1;80;80;0
27I6F;3G2;2;60;60;1
27I6F;3G2;3;80;80;0
27I6F;3G2;4;80;80;0
27I6F;3G2;5;80;80;0
27I6F;3G2;6;80;80;0
2T6O;3G2;1;60;80;0
2T6O;3G2;2;60;60;1
2T6O;3G2;3;80;80;0
2T6O;3G2;4;60;80;0
2T6O;3G2;5;60;100;0
2T6O;3G2;6;60;80;0
3C5O;3G2;1;60;40;1
3C5O;3G2;2;60;20;1
3C5O;3G2;3;60;20;1
3C5O;3G2;4;40;20;1
3C5O;3G2;5;60;20;1
3C5O;3G2;6;60;20;1
4I2O;3G2;1;60;80;0
4I2O;3G2;2;40;60;1
4I2O;3G2;3;40;60;1
4I2O;3G2;4;40;60;1
4I2O;3G2;5;60;80;0
4I2O;3G2;6;60;80;0
6C3F;3G2;1;60;40;1
6C3F;3G2;2;80;40;0
6C3F;3G2;3;60;40;1
6C3F;3G2;4;80;40;0
6C3F;3G2;5;60;40;1
6C3F;3G2;6;60;40;1
9C3F;3G2;1;60;40;1
9C3F;3G2;2;80;40;0
9C3F;3G2;3;60;40;1
9C3F;3G2;4;80;40;0
9C3F;3G2;5;60;40;1
9C3F;3G2;6;60;40;1
10T2F;3GA1;1;80;80;0
10T2F;3GA1;2;60;60;1
10T2F;3GA1;3;60;80;0
10T2F;3GA1;4;60;80;0
10T2F;3GA1;5;80;60;0
10T2F;3GA1;6;80;100;0
11I3F;3GA1;1;100;80;0
11I3F;3GA1;2;80;60;0
11I3F;3GA1;3;80;100;0
11I3F;3GA1;4;60;60;1
11I3F;3GA1;5;80;80;0
11I3F;3GA1;6;80;100;0
12C5F;3GA1;1;999;80;0
12C5F;3GA1;2;999;100;0
12C5F;3GA1;3;999;100;0
12C5F;3GA1;4;999;100;0
12C5F;3GA1;5;999;100;0
12C5F;3GA1;6;999;80;1
14C2F;3GA1;1;999;100;0
14C2F;3GA1;2;999;100;0
14C2F;3GA1;3;999;100;0
14C2F;3GA1;4;999;100;0
14C2F;3GA1;5;999;100;0
14C2F;3GA1;6;999;100;0
16C6F;3GA1;1;999;100;0
16C6F;3GA1;2;999;100;0
16C6F;3GA1;3;999;100;0
16C6F;3GA1;4;999;80;1
16C6F;3GA1;5;999;100;0
16C6F;3GA1;6;999;100;0
17I1F;3GA1;1;40;60;1
17I1F;3GA1;2;40;80;0
17I1F;3GA1;3;40;60;1
17I1F;3GA1;4;100;80;0
17I1F;3GA1;5;80;80;0
17I1F;3GA1;6;100;80;0
18I4F;3GA1;1;80;60;0
18I4F;3GA1;2;60;60;0
18I4F;3GA1;3;100;80;0
18I4F;3GA1;4;80;60;0
18I4F;3GA1;5;60;60;1
18I4F;3GA1;6;100;80;0
19I4F;3GA1;1;60;80;0
19I4F;3GA1;2;80;60;0
19I4F;3GA1;3;80;80;0
19I4F;3GA1;4;60;60;0
19I4F;3GA1;5;40;40;1
19I4F;3GA1;6;100;100;0
1I4O;3GA1;1;60;80;0
1I4O;3GA1;2;20;60;1
1I4O;3GA1;3;40;60;0
1I4O;3GA1;4;80;80;0
1I4O;3GA1;5;60;60;0
1I4O;3GA1;6;40;60;1
20T1F;3GA1;1;60;40;1
20T1F;3GA1;2;80;80;0
20T1F;3GA1;3;80;40;1
20T1F;3GA1;4;60;40;1
20T1F;3GA1;5;40;60;0
20T1F;3GA1;6;40;60;1
21I1F;3GA1;1;100;100;1
21I1F;3GA1;2;100;100;1
21I1F;3GA1;3;60;60;0
21I1F;3GA1;4;100;80;0
21I1F;3GA1;5;80;80;0
21I1F;3GA1;6;80;100;0
22T3F;3GA1;1;100;100;0
22T3F;3GA1;2;100;80;0
22T3F;3GA1;3;80;100;0
22T3F;3GA1;4;40;40;1
22T3F;3GA1;5;40;40;1
22T3F;3GA1;6;40;40;1
23C5F;3GA1;1;999;100;0
23C5F;3GA1;2;999;100;0
23C5F;3GA1;3;999;100;0
23C5F;3GA1;4;999;20;1
23C5F;3GA1;5;999;100;0
23C5F;3GA1;6;999;80;0
24T3F;3GA1;1;60;100;0
24T3F;3GA1;2;100;80;0
24T3F;3GA1;3;100;80;0
24T3F;3GA1;4;80;80;0
24T3F;3GA1;5;80;80;0
24T3F;3GA1;6;80;80;0
4C3O;3GA1;1;999;100;0
4C3O;3GA1;2;999;100;0
4C3O;3GA1;3;999;100;0
4C3O;3GA1;4;999;100;0
4C3O;3GA1;5;999;100;0
4C3O;3GA1;6;999;100;0
6T1O;3GA1;1;80;100;0
6T1O;3GA1;2;80;60;0
6T1O;3GA1;3;100;100;0
6T1O;3GA1;4;80;80;1
6T1O;3GA1;5;80;80;1
6T1O;3GA1;6;100;100;0
9C5F;3GA1;1;100;100;0
9C5F;3GA1;2;100;100;0
9C5F;3GA1;3;999;100;0
9C5F;3GA1;4;100;100;0
9C5F;3GA1;5;999;20;0
9C5F;3GA1;6;999;20;1
10C1F;3HB;1;40;60;0
10C1F;3HB;2;20;20;1
10C1F;3HB;3;20;40;0
10C1F;3HB;4;40;40;0
10C1F;3HB;5;20;40;1
10C1F;3HB;6;40;40;1
11I2F;3HB;1;40;80;0
11I2F;3HB;2;60;60;1
11I2F;3HB;3;60;60;0
11I2F;3HB;4;40;80;1
11I2F;3HB;5;40;60;0
11I2F;3HB;6;60;80;0
14I5F;3HB;1;60;60;0
14I5F;3HB;2;60;80;0
14I5F;3HB;3;60;60;0
14I5F;3HB;4;40;60;1
14I5F;3HB;5;40;40;1
14I5F;3HB;6;40;60;0
16C4F;3HB;1;60;60;0
16C4F;3HB;2;60;60;1
16C4F;3HB;3;60;60;0
16C4F;3HB;4;40;60;1
16C4F;3HB;5;60;40;0
16C4F;3HB;6;60;60;0
18T3F;3HB;1;60;60;0
18T3F;3HB;2;60;60;0
18T3F;3HB;3;60;80;0
18T3F;3HB;4;20;40;1
18T3F;3HB;5;40;60;0
18T3F;3HB;6;20;60;0
19C5F;3HB;1;20;60;1
19C5F;3HB;2;40;60;0
19C5F;3HB;3;20;40;0
19C5F;3HB;4;20;40;1
19C5F;3HB;5;40;40;1
19C5F;3HB;6;20;40;0
1C6O;3HB;1;20;60;0
1C6O;3HB;2;20;40;0
1C6O;3HB;3;40;60;0
1C6O;3HB;4;20;40;1
1C6O;3HB;5;40;40;0
1C6O;3HB;6;20;40;1
20I5F;3HB;1;20;60;1
20I5F;3HB;2;20;40;1
20I5F;3HB;3;20;60;1
20I5F;3HB;4;20;40;1
20I5F;3HB;5;20;20;1
20I5F;3HB;6;20;20;1
22C3F;3HB;1;40;60;0
22C3F;3HB;2;40;40;1
22C3F;3HB;3;40;60;0
22C3F;3HB;4;20;60;1
22C3F;3HB;5;20;60;1
22C3F;3HB;6;20;40;0
23I2F;3HB;1;20;40;1
23I2F;3HB;2;40;60;0
23I2F;3HB;3;40;60;0
23I2F;3HB;4;40;60;0
23I2F;3HB;5;40;60;0
23I2F;3HB;6;40;80;0
25C3F;3HB;1;20;40;1
25C3F;3HB;2;40;60;0
25C3F;3HB;3;40;60;0
25C3F;3HB;4;20;40;1
25C3F;3HB;5;20;60;0
25C3F;3HB;6;40;60;0
2I6F;3HB;1;80;80;0
2I6F;3HB;2;60;80;0
2I6F;3HB;3;60;80;0
2I6F;3HB;4;60;60;1
2I6F;3HB;5;60;80;0
2I6F;3HB;6;80;80;0
3T4O;3HB;1;60;60;0
3T4O;3HB;2;60;60;0
3T4O;3HB;3;80;80;1
3T4O;3HB;4;60;60;0
3T4O;3HB;5;80;80;0
3T4O;3HB;6;80;80;0
4C5F;3HB;1;60;60;0
4C5F;3HB;2;40;60;0
4C5F;3HB;3;60;60;0
4C5F;3HB;4;40;40;1
4C5F;3HB;5;60;60;0
4C5F;3HB;6;40;60;1
5I1O;3HB;1;40;40;0
5I1O;3HB;2;60;40;0
5I1O;3HB;3;60;60;0
5I1O;3HB;4;40;40;1
5I1O;3HB;5;20;60;1
5I1O;3HB;6;60;60;0
6T4F;3HB;1;40;40;1
6T4F;3HB;2;60;60;0
6T4F;3HB;3;40;60;0
6T4F;3HB;4;40;40;1
6T4F;3HB;5;20;40;1
6T4F;3HB;6;60;60;0
8I1F;3HB;1;60;60;0
8I1F;3HB;2;40;80;0
8I1F;3HB;3;60;80;0
8I1F;3HB;4;40;60;0
8I1F;3HB;5;40;80;0
8I1F;3HB;6;60;80;0
9T2F;3HB;1;40;40;0
9T2F;3HB;2;20;20;0
9T2F;3HB;3;20;60;0
9T2F;3HB;4;20;40;0
9T2F;3HB;5;20;40;0
9T2F;3HB;6;40;40;0
10C6F;3VA;1;20;40;1
10C6F;3VA;2;80;80;0
10C6F;3VA;3;40;60;0
10C6F;3VA;4;60;80;0
10C6F;3VA;5;60;60;0
10C6F;3VA;6;60;80;0
11I3F;3VA;1;20;40;0
11I3F;3VA;2;60;80;0
11I3F;3VA;3;60;80;0
11I3F;3VA;4;999;999;1
11I3F;3VA;5;20;20;0
11I3F;3VA;6;40;80;0
12T4F;3VA;1;60;60;0
12T4F;3VA;2;40;60;0
12T4F;3VA;3;40;60;0
12T4F;3VA;4;40;60;1
12T4F;3VA;5;60;80;0
12T4F;3VA;6;60;60;0
14C2F;3VA;1;60;60;0
14C2F;3VA;2;60;60;0
14C2F;3VA;3;80;100;0
14C2F;3VA;4;60;80;1
14C2F;3VA;5;80;100;0
14C2F;3VA;6;80;80;0
17I1F;3VA;1;20;60;1
17I1F;3VA;2;60;80;0
17I1F;3VA;3;40;60;0
17I1F;3VA;4;60;80;0
17I1F;3VA;5;40;40;0
17I1F;3VA;6;60;80;0
18T1F;3VA;1;20;40;0
18T1F;3VA;2;60;80;0
18T1F;3VA;3;20;40;0
18T1F;3VA;4;20;40;1
18T1F;3VA;5;40;40;0
18T1F;3VA;6;60;60;0
19C4O;3VA;1;40;60;0
19C4O;3VA;2;60;60;0
19C4O;3VA;3;80;60;0
19C4O;3VA;4;60;40;0
19C4O;3VA;5;60;40;0
19C4O;3VA;6;80;40;1
20I2F;3VA;1;20;20;0
20I2F;3VA;2;20;20;0
20I2F;3VA;3;20;20;0
20I2F;3VA;4;40;40;1
20I2F;3VA;5;40;40;0
20I2F;3VA;6;60;80;0
3C5F;3VA;1;60;80;0
3C5F;3VA;2;80;80;0
3C5F;3VA;3;40;60;1
3C5F;3VA;4;60;80;0
3C5F;3VA;5;60;80;0
3C5F;3VA;6;60;80;0
4I3O;3VA;1;60;80;0
4I3O;3VA;2;60;60;0
4I3O;3VA;3;60;80;0
4I3O;3VA;4;60;60;1
4I3O;3VA;5;80;80;0
4I3O;3VA;6;80;80;0
5T2O;3VA;1;80;100;0
5T2O;3VA;2;60;80;0
5T2O;3VA;3;40;80;1
5T2O;3VA;4;60;60;0
5T2O;3VA;5;40;60;0
5T2O;3VA;6;80;100;0
6C6F;3VA;1;40;40;0
6C6F;3VA;2;40;40;0
6C6F;3VA;3;20;40;0
6C6F;3VA;4;20;40;1
6C6F;3VA;5;40;60;0
6C6F;3VA;6;40;60;0
7I5F;3VA;1;80;100;0
7I5F;3VA;2;60;40;1
7I5F;3VA;3;80;80;0
7I5F;3VA;4;60;60;0
7I5F;3VA;5;60;80;0
7I5F;3VA;6;80;80;0
9T3F;3VA;1;60;80;1
9T3F;3VA;2;60;80;0
9T3F;3VA;3;60;60;0
9T3F;3VA;4;80;80;0
9T3F;3VA;5;80;80;0
9T3F;3VA;6;60;80;0
11I6F;2vb;1;100;80;0
11I6F;2vb;2;60;40;1
11I6F;2vb;3;60;40;1
11I6F;2vb;4;60;40;0
11I6F;2vb;5;60;20;1
11I6F;2vb;6;80;60;0
12T1F;2vb;1;60;40;1
12T1F;2vb;2;60;40;0
12T1F;2vb;3;60;60;1
12T1F;2vb;4;100;80;0
12T1F;2vb;5;60;40;1
12T1F;2vb;6;60;20;1
13C2F;2vb;1;80;60;0
13C2F;2vb;2;100;80;0
13C2F;2vb;3;60;60;1
13C2F;2vb;4;100;80;0
13C2F;2vb;5;100;100;0
13C2F;2vb;6;40;40;1
15T4F;2vb;1;80;60;0
15T4F;2vb;2;80;60;1
15T4F;2vb;3;100;100;0
15T4F;2vb;4;100;80;0
15T4F;2vb;5;80;80;0
15T4F;2vb;6;100;80;0
16C5F;2vb;1;80;60;0
16C5F;2vb;2;80;80;1
16C5F;2vb;3;60;60;0
16C5F;2vb;4;100;80;0
16C5F;2vb;5;80;60;0
16C5F;2vb;6;60;60;1
17I6F;2vb;1;60;40;1
17I6F;2vb;2;40;20;1
17I6F;2vb;3;60;40;1
17I6F;2vb;4;60;60;1
17I6F;2vb;5;60;60;1
17I6F;2vb;6;80;60;0
18T1F;2vb;1;80;60;0
18T1F;2vb;2;60;20;1
18T1F;2vb;3;100;100;0
18T1F;2vb;4;60;40;1
18T1F;2vb;5;60;40;0
18T1F;2vb;6;80;60;0
19C2F;2vb;1;80;60;0
19C2F;2vb;2;80;80;0
19C2F;2vb;3;60;60;0
19C2F;2vb;4;100;80;0
19C2F;2vb;5;100;100;0
19C2F;2vb;6;60;40;1
1C2O;2vb;1;60;60;0
1C2O;2vb;2;80;60;0
1C2O;2vb;3;60;40;1
1C2O;2vb;4;100;60;0
1C2O;2vb;5;80;60;0
1C2O;2vb;6;60;40;1
20I3F;2vb;1;60;40;1
20I3F;2vb;2;40;20;1
20I3F;2vb;3;60;40;0
20I3F;2vb;4;100;60;0
20I3F;2vb;5;80;60;0
20I3F;2vb;6;60;40;0
22C5F;2vb;1;999;999;1
22C5F;2vb;2;999;999;1
22C5F;2vb;3;999;999;1
22C5F;2vb;4;999;999;1
22C5F;2vb;5;999;999;1
22C5F;2vb;6;999;999;1
2I3O;2vb;1;40;20;1
2I3O;2vb;2;40;0;1
2I3O;2vb;3;60;40;0
2I3O;2vb;4;40;0;1
2I3O;2vb;5;60;20;0
2I3O;2vb;6;80;80;0
3T4O;2vb;1;40;20;1
3T4O;2vb;2;60;40;1
3T4O;2vb;3;80;80;1
3T4O;2vb;4;60;40;1
3T4O;2vb;5;80;60;1
3T4O;2vb;6;60;20;1
4C5F;2vb;1;80;60;0
4C5F;2vb;2;100;80;0
4C5F;2vb;3;80;60;0
4C5F;2vb;4;100;80;0
4C5F;2vb;5;100;60;0
4C5F;2vb;6;60;60;1
5I6F;2vb;1;40;20;1
5I6F;2vb;2;40;0;0
5I6F;2vb;3;20;0;1
5I6F;2vb;4;60;40;1
5I6F;2vb;5;40;40;0
5I6F;2vb;6;20;0;1
6T1F;2vb;1;100;80;0
6T1F;2vb;2;80;80;0
6T1F;2vb;3;80;60;0
6T1F;2vb;4;100;80;0
6T1F;2vb;5;60;60;1
6T1F;2vb;6;100;80;0
8I3F;2vb;1;100;80;0
8I3F;2vb;2;60;60;0
8I3F;2vb;3;80;60;1
8I3F;2vb;4;100;80;1
8I3F;2vb;5;60;80;0
8I3F;2vb;6;80;60;0
10C3F;3tt1;1;80;80;0
10C3F;3tt1;2;60;60;0
10C3F;3tt1;3;40;60;1
10C3F;3tt1;4;80;60;0
10C3F;3tt1;5;60;60;0
10C3F;3tt1;6;80;80;0
11I2F;3tt1;1;60;60;0
11I2F;3tt1;2;60;40;0
11I2F;3tt1;3;40;40;1
11I2F;3tt1;4;80;60;0
11I2F;3tt1;5;80;80;0
11I2F;3tt1;6;80;80;0
12T1F;3tt1;1;80;60;0
12T1F;3tt1;2;80;80;0
12T1F;3tt1;3;80;80;0
12T1F;3tt1;4;60;40;1
12T1F;3tt1;5;80;80;0
12T1F;3tt1;6;80;60;0
13C6F;3tt1;1;60;60;0
13C6F;3tt1;2;60;40;0
13C6F;3tt1;3;60;40;1
13C6F;3tt1;4;60;40;0
13C6F;3tt1;5;40;40;0
13C6F;3tt1;6;60;80;0
14I5F;3tt1;1;80;60;0
14I5F;3tt1;2;40;40;0
14I5F;3tt1;3;20;20;1
14I5F;3tt1;4;40;60;0
14I5F;3tt1;5;40;40;0
14I5F;3tt1;6;80;80;0
15T4F;3tt1;1;80;80;0
15T4F;3tt1;2;60;40;0
15T4F;3tt1;3;60;60;1
15T4F;3tt1;4;60;80;0
15T4F;3tt1;5;60;80;0
15T4F;3tt1;6;60;40;0
16C3F;3tt1;1;80;60;0
16C3F;3tt1;2;60;40;0
16C3F;3tt1;3;40;60;1
16C3F;3tt1;4;60;60;0
16C3F;3tt1;5;80;60;0
16C3F;3tt1;6;80;80;0
17I2F;3tt1;1;60;40;0
17I2F;3tt1;2;40;20;1
17I2F;3tt1;3;60;20;0
17I2F;3tt1;4;60;20;0
17I2F;3tt1;5;80;40;0
17I2F;3tt1;6;80;20;0
18T1F;3tt1;1;80;60;0
18T1F;3tt1;2;80;40;0
18T1F;3tt1;3;80;80;0
18T1F;3tt1;4;60;40;1
18T1F;3tt1;5;40;20;0
18T1F;3tt1;6;80;80;0
19C6F;3tt1;1;80;60;0
19C6F;3tt1;2;40;40;0
19C6F;3tt1;3;60;40;1
19C6F;3tt1;4;80;40;0
19C6F;3tt1;5;60;60;0
19C6F;3tt1;6;80;80;0
1C6O;3tt1;1;80;80;0
1C6O;3tt1;2;40;60;0
1C6O;3tt1;3;20;40;1
1C6O;3tt1;4;60;60;0
1C6O;3tt1;5;80;60;0
1C6O;3tt1;6;60;60;0
2I5O;3tt1;1;80;80;0
2I5O;3tt1;2;40;20;0
2I5O;3tt1;3;40;60;1
2I5O;3tt1;4;60;60;0
2I5O;3tt1;5;60;40;0
2I5O;3tt1;6;80;80;0
3T4O;3tt1;1;60;60;0
3T4O;3tt1;2;20;40;0
3T4O;3tt1;3;20;20;1
3T4O;3tt1;4;40;40;0
3T4O;3tt1;5;20;40;0
3T4O;3tt1;6;40;40;0
4C3F;3tt1;1;60;80;0
4C3F;3tt1;2;40;40;0
4C3F;3tt1;3;60;60;0
4C3F;3tt1;4;60;80;0
4C3F;3tt1;5;40;60;1
4C3F;3tt1;6;80;80;0
5I2F;3tt1;1;80;80;0
5I2F;3tt1;2;60;40;0
5I2F;3tt1;3;40;40;1
5I2F;3tt1;4;40;40;0
5I2F;3tt1;5;60;60;0
5I2F;3tt1;6;40;60;0
6T1F;3tt1;1;60;60;0
6T1F;3tt1;2;60;20;0
6T1F;3tt1;3;40;40;0
6T1F;3tt1;4;60;20;0
6T1F;3tt1;5;40;20;1
6T1F;3tt1;6;40;40;0
8I5F;3tt1;1;40;20;0
8I5F;3tt1;2;40;20;0
8I5F;3tt1;3;20;40;1
8I5F;3tt1;4;60;80;0
8I5F;3tt1;5;60;60;0
