,score_dist,similarity_sum,D3JOLF,D3JOLR,Accuracy_score,NrRelCorrectOrder
score_dist,1.0,0.350607539072818,0.21351998138215245,0.2909950575665079,0.44330278551685026,0.44026238934720663
similarity_sum,0.350607539072818,1.0,0.4891154336771899,0.530826426441922,0.5005812574790596,0.4723882212571444
D3JOLF,0.21351998138215245,0.4891154336771899,1.0,0.7175717911434941,0.2944619208285702,0.31367108290499046
D3JOLR,0.2909950575665079,0.530826426441922,0.7175717911434941,1.0,0.3048457105557215,0.34713924569922483
Accuracy_score,0.44330278551685026,0.5005812574790596,0.2944619208285702,0.3048457105557215,1.0,0.8081139039007283
NrRelCorrectOrder,0.44026238934720663,0.4723882212571444,0.31367108290499046,0.34713924569922483,0.8081139039007283,1.0
