,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
\outl0\strokewidth0 \strokec2 IDStudent,IDStudUnique,IDClass,TextName,NrRelSkipped\,NrRelCorrectOrder
17I6F,17I6F2VB,2VB,Botox,1\,3
18I4F,18I4F3GA1,3GA1,Botox,1\,3
20I5F,20I5FH3B,H3B,Botox,3\,1
23I2F,23I2FH3B,H3B,Botox,1\,3
26I3F,26I3FG3,G3,Botox,\,2
26I6F,26I6FA3A,A3A,Botox,1\,3
27I6F,27I6F3G2,3G2,Botox,1\,3
2I3O,2I3O2VB,2VB,Botox,0\,4
2I5O,2I5O3TT1,3TT1,Botox,1\,3
5I1O,5I1OH3B,H3B,Botox,0\,4
5I3O,5I3OV3D,V3D,Botox,\,2
5I6F,5I6F2VB,2VB,Botox,2\,2
7I5F,7I5F3VA,3VA,Botox,2\,2
8I3F,8I3FG3,G3,Botox,\,3
8I5F,8I5F3TT1,3TT1,Botox,1\,3
10I2F,10I2FHC3,HC3,Botox,\,0
11I1F,11I1F3G2,3G2,Botox,1\,3
11I2F,11I2FH3B,H3B,Botox,2\,2
11I3F,11I3F3VA,3VA,Botox,4\,0
11I3F,11I3FHC3,HC3,Botox,\,0
11I4F,11I4FA3,A3,Botox,\,1
11I4F,11I4FH3C,H3C,Botox,\,2
11I5F,11I5F3A1,3A1,Botox,3\,1
11I5F,11I5FH3A,H3A,Botox,2\,2
11I6F,11I6F2VB,2VB,Botox,2\,2
11I6F,11I6FH3E,H3E,Botox,\,0
12I4F,12I4FHC3,HC3,Botox,\,1
13I6F,13I6FA3,A3,Botox,\,2
14I3F,14I3F3A1,3A1,Botox,3\,1
14I3F,14I3FA3A,A3A,Botox,4\,0
14I4F,14I4F3G2,3G2,Botox,1\,3
14I4O,14I4OH3D,H3D,Botox,\,0
14I5F,14I5F3AB,3AB,Botox,\,2
14I5F,14I5F3TT1,3TT1,Botox,3\,1
14I5F,14I5FH3B,H3B,Botox,4\,0
15I3F,15I3F3A3,3A3,Botox,3\,1
15I3F,15I3FA3,A3,Botox,\,2
17I1F,17I1F3GA1,3GA1,Botox,3\,1
17I1F,17I1F3VA,3VA,Botox,4\,0
17I2F,17I2F3TT1,3TT1,Botox,2\,2
17I2F,17I2FH3D,H3D,Botox,\,2
17I3F,17I3F3AB,3AB,Botox,\,1
17I5F,17I5FH3E,H3E,Botox,\,1
17I6F,17I6FH3C,H3C,Botox,\,0
19I1F,19I1F3A3,3A3,Botox,3\,1
1I4O,1I4O3GA1,3GA1,Botox,3\,1
20I1F,20I1FA3A,A3A,Botox,3\,1
20I2F,20I2F3VA,3VA,Botox,2\,2
20I3F,20I3F2VB,2VB,Botox,2\,2
20I3F,20I3FH3A,H3A,Botox,4\,0
20I3F,20I3FH3C,H3C,Botox,\,1
20I5F,20I5FH3E,H3E,Botox,\,0
20I6F,20I6FG3,G3,Botox,\,3
20I6F,20I6FH3D,H3D,Botox,\,0
23I2F,23I2FH3C,H3C,Botox,\,1
25I5F,25I5F3A1,3A1,Botox,2\,2
26I2F,26I2FH3D,H3D,Botox,\,1
29I1F,29I1F3AB,3AB,Botox,\,1
29I3F,29I3FH3D,H3D,Botox,\,0
2I4O,2I4OH3A,H3A,Botox,3\,1
2I6F,2I6FH3B,H3B,Botox,1\,3
32I3F,32I3FH3E,H3E,Botox,\,0
3I2O,3I2O3A3,3A3,Botox,3\,1
4I2O,4I2O3G2,3G2,Botox,2\,2
4I3O,4I3O3VA,3VA,Botox,3\,1
5I1F,5I1FH3A,H3A,Botox,2\,2
5I1O,5I1OH3C,H3C,Botox,\,0
5I2F,5I2F3TT1,3TT1,Botox,2\,2
5I3O,5I3OG3,G3,Botox,\,1
5I5F,5I5F3A3,3A3,Botox,2\,2
5I6F,5I6FH3D,H3D,Botox,\,0
8I2O,8I2O3AB,3AB,Botox,\,0
8I3F,8I3F2VB,2VB,Botox,3\,1
8I5F,8I5F3A1,3A1,Botox,1\,3
8I5F,8I5FH3C,H3C,Botox,\,0
9I1F,9I1FHC3,HC3,Botox,\,1
9I3F,9I3F3A3,3A3,Botox,2\,2
13I6F,13I6FA3,A3,Geld,\,2
15I3F,15I3F3A3,3A3,Geld,3\,1
27I6F,27I6F3G2,3G2,Geld,3\,1
14I3F,14I3FA3A,A3A,Geld,3\,1
5I1F,5I1FH3A,H3A,Geld,3\,1
11I6F,11I6F2VB,2VB,Geld,2\,2
8I3F,8I3FG3,G3,Geld,\,1
11I2F,11I2F3TT1,3TT1,Geld,2\,2
11I6F,11I6FH3E,H3E,Geld,\,0
12I5F,12I5FA3,A3,Geld,\,1
8I2O,8I2O3AB,3AB,Geld,\,2
11I1F,11I1F3G2,3G2,Geld,2\,2
2I6F,2I6F3A1,3A1,Geld,2\,2
5I1O,5I1OH3C,H3C,Geld,\,0
5I3O,5I3OV3D,V3D,Geld,\,2
8I5F,8I5F3TT1,3TT1,Geld,3\,1
9I3F,9I3F3A3,3A3,Geld,3\,1
14I5F,14I5F3AB,3AB,Geld,\,2
7I5F,7I5F3VA,3VA,Geld,3\,1
8I5F,8I5FH3C,H3C,Geld,\,2
10I2F,10I2FHC3,HC3,Geld,\,1
10I4F,10I4F3G2,3G2,Geld,4\,0
11I2F,11I2FH3B,H3B,Geld,3\,1
11I3F,11I3F3GA1,3GA1,Geld,2\,2
11I3F,11I3F3VA,3VA,Geld,3\,1
11I3F,11I3FHC3,HC3,Geld,\,1
11I4F,11I4FA3,A3,Geld,\,0
11I4F,11I4FH3C,H3C,Geld,\,1
11I5F,11I5F3A1,3A1,Geld,4\,0
11I5F,11I5FG3,G3,Geld,\,0
11I5F,11I5FH3A,H3A,Geld,4\,0
11I6F,11I6FV3D,V3D,Geld,\,2
12I4F,12I4FHC3,HC3,Geld,\,1
13I5F,13I5FHC3,HC3,Geld,\,0
14I3F,14I3F3A1,3A1,Geld,4\,0
14I4F,14I4F3G2,3G2,Geld,4\,0
14I4F,14I4FG3,G3,Geld,\,0
14I4O,14I4OH3D,H3D,Geld,\,0
14I5F,14I5F3TT1,3TT1,Geld,4\,0
14I5F,14I5FH3B,H3B,Geld,2\,2
15I3F,15I3FA3,A3,Geld,\,0
16I1F,16I1F3G2,3G2,Geld,3\,1
17I1F,17I1F3GA1,3GA1,Geld,3\,1
17I1F,17I1F3VA,3VA,Geld,3\,1
17I2F,17I2F3TT1,3TT1,Geld,4\,0
17I2F,17I2FH3D,H3D,Geld,\,0
17I3F,17I3F3AB,3AB,Geld,\,2
17I5F,17I5FH3E,H3E,Geld,\,0
17I6F,17I6F2VB,2VB,Geld,3\,1
17I6F,17I6FH3C,H3C,Geld,\,0
17I6F,17I6FV3D,V3D,Geld,\,1
18I4F,18I4F3GA1,3GA1,Geld,4\,0
19I1F,19I1F3A3,3A3,Geld,4\,0
19I4F,19I4F3GA1,3GA1,Geld,3\,1
19I5F,19I5F3AB,3AB,Geld,\,1
1I4O,1I4O3GA1,3GA1,Geld,4\,0
20I1F,20I1FA3A,A3A,Geld,4\,0
20I2F,20I2F3VA,3VA,Geld,4\,0
20I2F,20I2FV3D,V3D,Geld,\,2
20I3F,20I3F2VB,2VB,Geld,4\,0
20I3F,20I3FH3A,H3A,Geld,4\,0
20I3F,20I3FH3C,H3C,Geld,\,0
20I4O,20I4O3A1,3A1,Geld,4\,0
20I5F,20I5F3AB,3AB,Geld,\,1
20I5F,20I5FH3B,H3B,Geld,4\,0
20I5F,20I5FH3E,H3E,Geld,\,1
20I6F,20I6FG3,G3,Geld,\,2
20I6F,20I6FH3D,H3D,Geld,\,0
23I2F,23I2FH3B,H3B,Geld,4\,0
23I2F,23I2FH3C,H3C,Geld,\,0
25I5F,25I5F3A1,3A1,Geld,4\,0
26I1F,26I1FV3D,V3D,Geld,\,1
26I2F,26I2FH3D,H3D,Geld,\,0
26I3F,26I3FG3,G3,Geld,\,1
26I6F,26I6FA3A,A3A,Geld,4\,0
29I1F,29I1F3AB,3AB,Geld,\,1
29I3F,29I3FH3D,H3D,Geld,\,0
2I3O,2I3O2VB,2VB,Geld,3\,1
2I4O,2I4OH3A,H3A,Geld,4\,0
2I5O,2I5O3TT1,3TT1,Geld,4\,0
2I6F,2I6FH3B,H3B,Geld,3\,1
32I3F,32I3FH3E,H3E,Geld,\,0
3I2O,3I2O3A3,3A3,Geld,4\,0
4I2O,4I2O3G2,3G2,Geld,4\,0
4I3O,4I3O3VA,3VA,Geld,3\,1
5I1O,5I1OH3B,H3B,Geld,4\,0
5I2F,5I2F3TT1,3TT1,Geld,4\,0
5I3O,5I3OG3,G3,Geld,\,1
5I5F,5I5F3A3,3A3,Geld,3\,1
5I6F,5I6F2VB,2VB,Geld,4\,0
5I6F,5I6FH3D,H3D,Geld,\,0
5I6O,5I6OH3E,H3E,Geld,\,0
8I1F,8I1FA3,A3,Geld,\,0
8I1F,8I1FH3B,H3B,Geld,3\,1
8I2F,8I2FV3D,V3D,Geld,\,0
8I3F,8I3F2VB,2VB,Geld,4\,0
8I5F,8I5F3A1,3A1,Geld,4\,0
8I6F,8I6FH3E,H3E,Geld,\,0
9I1F,9I1FHC3,HC3,Geld,\,0
1I4O,1I4O3GA1,3GA1,Metro,3\,1
11I6F,11I6F2VB,2VB,Metro,1\,3
20I1F,20I1FA3A,A3A,Metro,1\,3
26I6F,26I6FA3A,A3A,Metro,2\,2
5I1F,5I1FH3A,H3A,Metro,2\,2
11I1F,11I1F3G2,3G2,Metro,2\,2
11I2F,11I2F3TT1,3TT1,Metro,0\,4
11I2F,11I2FH3B,H3B,Metro,0\,4
11I3F,11I3F3GA1,3GA1,Metro,1\,3
11I3F,11I3F3VA,3VA,Metro,2\,2
11I3F,11I3FHC3,HC3,Metro,\,1
11I5F,11I5FG3,G3,Metro,\,3
11I6F,11I6FH3E,H3E,Metro,\,4
12I4F,12I4FHC3,HC3,Metro,\,2
14I4F,14I4F3G2,3G2,Metro,2\,2
14I4F,14I4FG3,G3,Metro,\,3
14I5F,14I5F3AB,3AB,Metro,\,3
15I3F,15I3F3A3,3A3,Metro,1\,3
17I1F,17I1F3GA1,3GA1,Metro,1\,3
17I3F,17I3F3AB,3AB,Metro,\,4
18I4F,18I4F3GA1,3GA1,Metro,1\,3
19I4F,19I4F3GA1,3GA1,Metro,1\,3
19I5F,19I5F3AB,3AB,Metro,\,4
20I4O,20I4O3A1,3A1,Metro,2\,2
20I6F,20I6FG3,G3,Metro,\,3
23I2F,23I2FH3B,H3B,Metro,2\,2
25I5F,25I5F3A1,3A1,Metro,2\,2
26I1F,26I1FV3D,V3D,Metro,\,3
27I6F,27I6F3G2,3G2,Metro,0\,4
2I3O,2I3O2VB,2VB,Metro,2\,2
2I5O,2I5O3TT1,3TT1,Metro,2\,2
4I2O,4I2O3G2,3G2,Metro,1\,3
4I3O,4I3O3VA,3VA,Metro,1\,3
5I1O,5I1OH3B,H3B,Metro,1\,3
5I2F,5I2F3TT1,3TT1,Metro,3\,1
8I1F,8I1FA3,A3,Metro,\,3
8I3F,8I3FG3,G3,Metro,\,2
8I5F,8I5F3TT1,3TT1,Metro,2\,2
8I5F,8I5FH3C,H3C,Metro,\,3
8I6F,8I6FH3E,H3E,Metro,\,3
10I2F,10I2FHC3,HC3,Metro,\,0
10I4F,10I4F3G2,3G2,Metro,1\,3
11I4F,11I4FA3,A3,Metro,\,0
11I4F,11I4FH3C,H3C,Metro,\,1
11I5F,11I5F3A1,3A1,Metro,3\,1
11I5F,11I5FH3A,H3A,Metro,1\,3
11I6F,11I6FV3D,V3D,Metro,\,2
13I5F,13I5FHC3,HC3,Metro,\,2
13I6F,13I6FA3,A3,Metro,\,0
14I3F,14I3F3A1,3A1,Metro,2\,2
14I3F,14I3FA3A,A3A,Metro,4\,0
14I4O,14I4OH3D,H3D,Metro,\,0
14I5F,14I5F3TT1,3TT1,Metro,3\,1
14I5F,14I5FH3B,H3B,Metro,4\,0
15I3F,15I3FA3,A3,Metro,\,1
16I1F,16I1F3G2,3G2,Metro,3\,1
17I1F,17I1F3VA,3VA,Metro,3\,1
17I2F,17I2F3TT1,3TT1,Metro,2\,2
17I2F,17I2FH3D,H3D,Metro,\,3
17I5F,17I5FH3E,H3E,Metro,\,1
17I6F,17I6F2VB,2VB,Metro,1\,3
17I6F,17I6FH3C,H3C,Metro,\,2
17I6F,17I6FV3D,V3D,Metro,\,3
19I1F,19I1F3A3,3A3,Metro,2\,2
20I2F,20I2F3VA,3VA,Metro,2\,2
20I2F,20I2FV3D,V3D,Metro,\,2
20I3F,20I3F2VB,2VB,Metro,3\,1
20I3F,20I3FH3A,H3A,Metro,4\,0
20I3F,20I3FH3C,H3C,Metro,\,0
20I5F,20I5F3AB,3AB,Metro,\,2
20I5F,20I5FH3B,H3B,Metro,4\,0
20I5F,20I5FH3E,H3E,Metro,\,2
20I6F,20I6FH3D,H3D,Metro,\,0
23I2F,23I2FH3C,H3C,Metro,\,0
26I2F,26I2FH3D,H3D,Metro,\,2
26I3F,26I3FG3,G3,Metro,\,1
29I1F,29I1F3AB,3AB,Metro,\,2
29I3F,29I3FH3D,H3D,Metro,\,0
2I4O,2I4OH3A,H3A,Metro,4\,0
2I6F,2I6F3A1,3A1,Metro,4\,0
2I6F,2I6FH3B,H3B,Metro,4\,0
32I3F,32I3FH3E,H3E,Metro,\,0
3I2O,3I2O3A3,3A3,Metro,3\,1
5I1O,5I1OH3C,H3C,Metro,\,1
5I3O,5I3OG3,G3,Metro,\,1
5I3O,5I3OV3D,V3D,Metro,\,1
5I5F,5I5F3A3,3A3,Metro,3\,1
5I6F,5I6F2VB,2VB,Metro,4\,0
5I6F,5I6FH3D,H3D,Metro,\,1
5I6O,5I6OH3E,H3E,Metro,\,3
7I5F,7I5F3VA,3VA,Metro,3\,1
8I1F,8I1FH3B,H3B,Metro,4\,0
8I2F,8I2FV3D,V3D,Metro,\,0
8I2O,8I2O3AB,3AB,Metro,\,2
8I3F,8I3F2VB,2VB,Metro,3\,1
8I5F,8I5F3A1,3A1,Metro,4\,0
9I1F,9I1FHC3,HC3,Metro,\,0
9I3F,9I3F3A3,3A3,Metro,2\,2
12I5F,12I5FA3,A3,Metro,\,0
10I2F,10I2FHC3,HC3,Muziek,\,1
17I2F,17I2FH3D,H3D,Muziek,\,2
26I1F,26I1FV3D,V3D,Muziek,\,2
8I1F,8I1FA3,A3,Muziek,\,1
8I3F,8I3FG3,G3,Muziek,\,3
8I6F,8I6FH3E,H3E,Muziek,\,1
2I3O,2I3O2VB,2VB,Muziek,2\,2
9I3F,9I3F3A3,3A3,Muziek,1\,3
10I4F,10I4F3G2,3G2,Muziek,2\,2
11I1F,11I1F3G2,3G2,Muziek,1\,3
11I2F,11I2F3TT1,3TT1,Muziek,1\,3
11I2F,11I2FH3B,H3B,Muziek,2\,2
11I4F,11I4FH3C,H3C,Muziek,\,1
11I5F,11I5FG3,G3,Muziek,\,3
11I6F,11I6F2VB,2VB,Muziek,1\,3
11I6F,11I6FV3D,V3D,Muziek,\,3
12I4F,12I4FHC3,HC3,Muziek,\,2
14I3F,14I3FA3A,A3A,Muziek,1\,3
15I3F,15I3F3A3,3A3,Muziek,0\,4
15I3F,15I3FA3,A3,Muziek,\,3
16I1F,16I1F3G2,3G2,Muziek,1\,3
17I1F,17I1F3GA1,3GA1,Muziek,2\,2
17I3F,17I3F3AB,3AB,Muziek,\,3
17I6F,17I6F2VB,2VB,Muziek,1\,3
17I6F,17I6FV3D,V3D,Muziek,\,3
18I4F,18I4F3GA1,3GA1,Muziek,1\,3
19I1F,19I1F3A3,3A3,Muziek,2\,2
19I4F,19I4F3GA1,3GA1,Muziek,2\,2
19I5F,19I5F3AB,3AB,Muziek,\,4
1I4O,1I4O3GA1,3GA1,Muziek,2\,2
20I1F,20I1FA3A,A3A,Muziek,1\,3
20I2F,20I2FV3D,V3D,Muziek,\,3
20I3F,20I3FH3A,H3A,Muziek,3\,1
20I4O,20I4O3A1,3A1,Muziek,1\,3
20I5F,20I5F3AB,3AB,Muziek,\,3
23I2F,23I2FH3B,H3B,Muziek,1\,3
25I5F,25I5F3A1,3A1,Muziek,2\,2
27I6F,27I6F3G2,3G2,Muziek,0\,4
29I1F,29I1F3AB,3AB,Muziek,\,3
2I4O,2I4OH3A,H3A,Muziek,2\,2
2I6F,2I6FH3B,H3B,Muziek,2\,2
3I2O,3I2O3A3,3A3,Muziek,1\,3
4I3O,4I3O3VA,3VA,Muziek,2\,2
5I1O,5I1OH3B,H3B,Muziek,2\,2
5I2F,5I2F3TT1,3TT1,Muziek,2\,2
5I3O,5I3OV3D,V3D,Muziek,\,3
5I6F,5I6FH3D,H3D,Muziek,\,2
7I5F,7I5F3VA,3VA,Muziek,1\,3
8I2F,8I2FV3D,V3D,Muziek,\,3
8I2O,8I2O3AB,3AB,Muziek,\,3
9I1F,9I1FHC3,HC3,Muziek,\,2
11I3F,11I3F3GA1,3GA1,Muziek,3\,1
11I3F,11I3F3VA,3VA,Muziek,4\,0
11I3F,11I3FHC3,HC3,Muziek,\,0
11I4F,11I4FA3,A3,Muziek,\,3
11I5F,11I5F3A1,3A1,Muziek,4\,0
11I5F,11I5FH3A,H3A,Muziek,4\,0
11I6F,11I6FH3E,H3E,Muziek,\,1
12I5F,12I5FA3,A3,Muziek,\,1
13I5F,13I5FHC3,HC3,Muziek,\,0
13I6F,13I6FA3,A3,Muziek,\,2
14I3F,14I3F3A1,3A1,Muziek,3\,1
14I4F,14I4F3G2,3G2,Muziek,2\,2
14I4F,14I4FG3,G3,Muziek,\,1
14I4O,14I4OH3D,H3D,Muziek,\,1
14I5F,14I5F3AB,3AB,Muziek,\,2
14I5F,14I5F3TT1,3TT1,Muziek,3\,1
14I5F,14I5FH3B,H3B,Muziek,4\,0
17I1F,17I1F3VA,3VA,Muziek,2\,2
17I2F,17I2F3TT1,3TT1,Muziek,4\,0
17I5F,17I5FH3E,H3E,Muziek,\,1
17I6F,17I6FH3C,H3C,Muziek,\,0
20I2F,20I2F3VA,3VA,Muziek,3\,1
20I3F,20I3F2VB,2VB,Muziek,3\,1
20I3F,20I3FH3C,H3C,Muziek,\,0
20I5F,20I5FH3B,H3B,Muziek,4\,0
20I5F,20I5FH3E,H3E,Muziek,\,0
20I6F,20I6FG3,G3,Muziek,\,2
20I6F,20I6FH3D,H3D,Muziek,\,0
23I2F,23I2FH3C,H3C,Muziek,\,1
26I2F,26I2FH3D,H3D,Muziek,\,2
26I3F,26I3FG3,G3,Muziek,\,2
26I6F,26I6FA3A,A3A,Muziek,4\,0
29I3F,29I3FH3D,H3D,Muziek,\,0
2I5O,2I5O3TT1,3TT1,Muziek,4\,0
2I6F,2I6F3A1,3A1,Muziek,3\,1
32I3F,32I3FH3E,H3E,Muziek,\,0
4I2O,4I2O3G2,3G2,Muziek,3\,1
5I1F,5I1FH3A,H3A,Muziek,3\,1
5I1O,5I1OH3C,H3C,Muziek,\,0
5I3O,5I3OG3,G3,Muziek,\,2
5I5F,5I5F3A3,3A3,Muziek,2\,2
5I6F,5I6F2VB,2VB,Muziek,3\,1
5I6O,5I6OH3E,H3E,Muziek,\,2
8I1F,8I1FH3B,H3B,Muziek,4\,0
8I3F,8I3F2VB,2VB,Muziek,3\,1
8I5F,8I5F3A1,3A1,Muziek,3\,1
8I5F,8I5F3TT1,3TT1,Muziek,3\,1
8I5F,8I5FH3C,H3C,Muziek,\,1
12I4F,12I4FHC3,HC3,Suez,\,1
13I5F,13I5FHC3,HC3,Suez,\,2
11I4F,11I4FA3,A3,Suez,\,2
20I3F,20I3FH3C,H3C,Suez,\,0
20I5F,20I5FH3E,H3E,Suez,\,0
20I6F,20I6FH3D,H3D,Suez,\,0
26I1F,26I1FV3D,V3D,Suez,\,2
32I3F,32I3FH3E,H3E,Suez,\,0
8I5F,8I5FH3C,H3C,Suez,\,0
9I1F,9I1FHC3,HC3,Suez,\,3
11I3F,11I3F3GA1,3GA1,Suez,2\,2
11I5F,11I5FG3,G3,Suez,\,2
11I6F,11I6FV3D,V3D,Suez,\,2
14I4F,14I4FG3,G3,Suez,\,2
1I4O,1I4O3GA1,3GA1,Suez,2\,2
20I1F,20I1FA3A,A3A,Suez,2\,2
29I1F,29I1F3AB,3AB,Suez,\,3
4I2O,4I2O3G2,3G2,Suez,2\,2
8I2O,8I2O3AB,3AB,Suez,\,2
8I6F,8I6FH3E,H3E,Suez,\,0
11I2F,11I2F3TT1,3TT1,Suez,2\,2
13I6F,13I6FA3,A3,Suez,\,2
14I5F,14I5F3AB,3AB,Suez,\,3
17I3F,17I3F3AB,3AB,Suez,\,3
17I6F,17I6FV3D,V3D,Suez,\,4
19I5F,19I5F3AB,3AB,Suez,\,3
20I6F,20I6FG3,G3,Suez,\,4
26I2F,26I2FH3D,H3D,Suez,\,3
26I3F,26I3FG3,G3,Suez,\,3
3I2O,3I2O3A3,3A3,Suez,1\,3
5I3O,5I3OV3D,V3D,Suez,\,3
8I3F,8I3FG3,G3,Suez,\,3
10I2F,10I2FHC3,HC3,Suez,\,0
10I4F,10I4F3G2,3G2,Suez,3\,1
11I1F,11I1F3G2,3G2,Suez,4\,0
11I2F,11I2FH3B,H3B,Suez,2\,2
11I3F,11I3F3VA,3VA,Suez,2\,2
11I3F,11I3FHC3,HC3,Suez,\,0
11I4F,11I4FH3C,H3C,Suez,\,0
11I5F,11I5F3A1,3A1,Suez,4\,0
11I5F,11I5FH3A,H3A,Suez,4\,0
11I6F,11I6F2VB,2VB,Suez,3\,1
